,election_year,fips,election_type,office,seat_status,democratic_raw_votes,republican_raw_votes,senate_raw_county_vote_totals_two_party
1127,2014.0,1057,G,SEN,Republican Senator re-election,0.0,5166.0,5166.0
1128,2016.0,1057,G,SEN,Republican Senator re-election,1497.0,6555.0,8052.0
1129,2017.0,1057,S,SEN,Republican open seat,1143.0,3491.0,4634.0
1130,2020.0,1057,G,SEN,Democratic Senator re-election,1651.0,7088.0,8739.0
1162,2002.0,1059,G,SEN,Republican Senator re-election,3952.0,4422.0,8374.0
1163,2004.0,1059,G,SEN,Republican Senator re-election,3803.0,8024.0,11827.0
1164,2008.0,1059,G,SEN,Republican Senator re-election,3248.0,8091.0,11339.0
1165,2010.0,1059,G,SEN,Republican Senator re-election,2992.0,5572.0,8564.0
1166,2014.0,1059,G,SEN,Republican Senator re-election,0.0,5185.0,5185.0
1167,2016.0,1059,G,SEN,Republican Senator re-election,2850.0,8670.0,11520.0
1168,2017.0,1059,S,SEN,Republican open seat,1771.0,4216.0,5987.0
1169,2020.0,1059,G,SEN,Democratic Senator re-election,2605.0,9856.0,12461.0
1201,2002.0,1061,G,SEN,Republican Senator re-election,1654.0,6014.0,7668.0
1202,2004.0,1061,G,SEN,Republican Senator re-election,1708.0,8595.0,10303.0
1203,2008.0,1061,G,SEN,Republican Senator re-election,1960.0,9441.0,11401.0
1204,2010.0,1061,G,SEN,Republican Senator re-election,1738.0,7817.0,9555.0
1205,2014.0,1061,G,SEN,Republican Senator re-election,0.0,6143.0,6143.0
1206,2016.0,1061,G,SEN,Republican Senator re-election,1803.0,9606.0,11409.0
1207,2017.0,1061,S,SEN,Republican open seat,1290.0,5433.0,6723.0
1208,2020.0,1061,G,SEN,Democratic Senator re-election,2122.0,10382.0,12504.0
1240,2002.0,1063,G,SEN,Republican Senator re-election,3277.0,836.0,4113.0
1241,2004.0,1063,G,SEN,Republican Senator re-election,3263.0,1283.0,4546.0
1242,2008.0,1063,G,SEN,Republican Senator re-election,4172.0,994.0,5166.0
1243,2010.0,1063,G,SEN,Republican Senator re-election,3507.0,796.0,4303.0
1244,2014.0,1063,G,SEN,Republican Senator re-election,0.0,629.0,629.0
1245,2016.0,1063,G,SEN,Republican Senator re-election,3834.0,918.0,4752.0
1246,2017.0,1063,S,SEN,Republican open seat,3345.0,462.0,3807.0
1247,2020.0,1063,G,SEN,Democratic Senator re-election,3962.0,816.0,4778.0
1279,2002.0,1065,G,SEN,Republican Senator re-election,3909.0,2276.0,6185.0
1280,2004.0,1065,G,SEN,Republican Senator re-election,3813.0,3758.0,7571.0
1281,2008.0,1065,G,SEN,Republican Senator re-election,4678.0,3286.0,7964.0
1282,2010.0,1065,G,SEN,Republican Senator re-election,3895.0,2568.0,6463.0
1283,2014.0,1065,G,SEN,Republican Senator re-election,0.0,2142.0,2142.0
1284,2016.0,1065,G,SEN,Republican Senator re-election,4650.0,3208.0,7858.0
1285,2017.0,1065,S,SEN,Republican open seat,3902.0,1691.0,5593.0
1286,2020.0,1065,G,SEN,Democratic Senator re-election,4786.0,3090.0,7876.0
1318,2002.0,1067,G,SEN,Republican Senator re-election,1885.0,3449.0,5334.0
1319,2004.0,1067,G,SEN,Republican Senator re-election,2093.0,5059.0,7152.0
1320,2008.0,1067,G,SEN,Republican Senator re-election,2840.0,5543.0,8383.0
1321,2010.0,1067,G,SEN,Republican Senator re-election,2226.0,4493.0,6719.0
1322,2014.0,1067,G,SEN,Republican Senator re-election,0.0,3437.0,3437.0
1323,2016.0,1067,G,SEN,Republican Senator re-election,2366.0,5506.0,7872.0
1324,2017.0,1067,S,SEN,Republican open seat,1899.0,3015.0,4914.0
1325,2020.0,1067,G,SEN,Democratic Senator re-election,2872.0,6399.0,9271.0
1357,2002.0,1069,G,SEN,Republican Senator re-election,6132.0,18898.0,25030.0
1358,2004.0,1069,G,SEN,Republican Senator re-election,8009.0,27576.0,35585.0
1359,2008.0,1069,G,SEN,Republican Senator re-election,11192.0,29686.0,40878.0
1360,2010.0,1069,G,SEN,Republican Senator re-election,8234.0,24218.0,32452.0
1361,2014.0,1069,G,SEN,Republican Senator re-election,0.0,18212.0,18212.0
1362,2016.0,1069,G,SEN,Republican Senator re-election,11219.0,30494.0,41713.0
1363,2017.0,1069,S,SEN,Republican open seat,9198.0,14846.0,24044.0
1364,2020.0,1069,G,SEN,Democratic Senator re-election,14494.0,31462.0,45956.0
1396,2002.0,1071,G,SEN,Republican Senator re-election,5772.0,6319.0,12091.0
1397,2004.0,1071,G,SEN,Republican Senator re-election,7292.0,12283.0,19575.0
1398,2008.0,1071,G,SEN,Republican Senator re-election,6060.0,13838.0,19898.0
1399,2010.0,1071,G,SEN,Republican Senator re-election,4589.0,10507.0,15096.0
1400,2014.0,1071,G,SEN,Republican Senator re-election,0.0,8413.0,8413.0
1401,2016.0,1071,G,SEN,Republican Senator re-election,4538.0,15742.0,20280.0
1402,2017.0,1071,S,SEN,Republican open seat,3330.0,7317.0,10647.0
1403,2020.0,1071,G,SEN,Democratic Senator re-election,4587.0,18888.0,23475.0
1435,2002.0,1073,G,SEN,Republican Senator re-election,101555.0,110491.0,212046.0
1436,2004.0,1073,G,SEN,Republican Senator re-election,120519.0,168194.0,288713.0
1437,2008.0,1073,G,SEN,Republican Senator re-election,154495.0,159091.0,313586.0
1438,2010.0,1073,G,SEN,Republican Senator re-election,98773.0,113144.0,211917.0
1439,2014.0,1073,G,SEN,Republican Senator re-election,0.0,91243.0,91243.0
1440,2016.0,1073,G,SEN,Republican Senator re-election,156574.0,144136.0,300710.0
1441,2017.0,1073,S,SEN,Republican open seat,149759.0,66350.0,216109.0
1442,2020.0,1073,G,SEN,Democratic Senator re-election,190644.0,134314.0,324958.0
1474,2002.0,1075,G,SEN,Republican Senator re-election,2477.0,3138.0,5615.0
1475,2004.0,1075,G,SEN,Republican Senator re-election,1799.0,4919.0,6718.0
1476,2008.0,1075,G,SEN,Republican Senator re-election,1784.0,4955.0,6739.0
1477,2010.0,1075,G,SEN,Republican Senator re-election,1236.0,3647.0,4883.0
1478,2014.0,1075,G,SEN,Republican Senator re-election,0.0,3387.0,3387.0
1479,2016.0,1075,G,SEN,Republican Senator re-election,1125.0,5634.0,6759.0
1480,2017.0,1075,S,SEN,Republican open seat,779.0,2847.0,3626.0
1481,2020.0,1075,G,SEN,Democratic Senator re-election,1071.0,6088.0,7159.0
1513,2002.0,1077,G,SEN,Republican Senator re-election,11669.0,14183.0,25852.0
1514,2004.0,1077,G,SEN,Republican Senator re-election,12042.0,24111.0,36153.0
1515,2008.0,1077,G,SEN,Republican Senator re-election,12012.0,25249.0,37261.0
1516,2010.0,1077,G,SEN,Republican Senator re-election,9389.0,18374.0,27763.0
1517,2014.0,1077,G,SEN,Republican Senator re-election,0.0,16508.0,16508.0
1518,2016.0,1077,G,SEN,Republican Senator re-election,11652.0,27092.0,38744.0
1519,2017.0,1077,S,SEN,Republican open seat,9970.0,12818.0,22788.0
1520,2020.0,1077,G,SEN,Democratic Senator re-election,13874.0,30071.0,43945.0
1552,2002.0,1079,G,SEN,Republican Senator re-election,5793.0,4542.0,10335.0
1553,2004.0,1079,G,SEN,Republican Senator re-election,5254.0,8372.0,13626.0
1554,2008.0,1079,G,SEN,Republican Senator re-election,4936.0,9315.0,14251.0
1555,2010.0,1079,G,SEN,Republican Senator re-election,4381.0,7060.0,11441.0
1556,2014.0,1079,G,SEN,Republican Senator re-election,0.0,6091.0,6091.0
1557,2016.0,1079,G,SEN,Republican Senator re-election,4171.0,10254.0,14425.0
1558,2017.0,1079,S,SEN,Republican open seat,3033.0,5321.0,8354.0
1559,2020.0,1079,G,SEN,Democratic Senator re-election,4211.0,11710.0,15921.0
1591,2002.0,1081,G,SEN,Republican Senator re-election,10832.0,17577.0,28409.0
1592,2004.0,1081,G,SEN,Republican Senator re-election,14168.0,29393.0,43561.0
1593,2008.0,1081,G,SEN,Republican Senator re-election,19806.0,33168.0,52974.0
1594,2010.0,1081,G,SEN,Republican Senator re-election,12187.0,21484.0,33671.0
1595,2014.0,1081,G,SEN,Republican Senator re-election,0.0,17514.0,17514.0
1596,2016.0,1081,G,SEN,Republican Senator re-election,21475.0,36684.0,58159.0
1597,2017.0,1081,S,SEN,Republican open seat,19886.0,14059.0,33945.0
1598,2020.0,1081,G,SEN,Democratic Senator re-election,29986.0,41154.0,71140.0
1630,2002.0,1083,G,SEN,Republican Senator re-election,8508.0,11873.0,20381.0
1631,2004.0,1083,G,SEN,Republican Senator re-election,7324.0,21060.0,28384.0
